table_name,field_name,field_type,nullable,primary_key,default_value,comment,category
master_defect_type,category_desc,VARCHAR(500),YES,NO,,不良描述,基础数据表
master_defect_type,created_at,DATETIME,YES,NO,,创建时间,基础数据表
master_defect_type,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
master_defect_image,image_id,INTEGER,NO,YES,auto_increment,主键,基础数据表
master_defect_image,defect_id,INTEGER,NO,NO,,关联不良项ID,基础数据表
master_defect_image,image_url,VARCHAR(255),NO,NO,,图片访问路径,基础数据表
master_defect_image,image_name,VARCHAR(255),NO,NO,,图片文件名,基础数据表
master_defect_image,sort_order,INTEGER,YES,NO,0,排序号,基础数据表
master_defect_image,file_hash,VARCHAR(64),YES,NO,,文件MD5哈希值,基础数据表
master_defect_image,created_at,DATETIME,YES,NO,,创建时间,基础数据表
master_defect_image,updated_at,DATETIME,YES,NO,,更新时间,基础数据表
production_order,order_id,INTEGER,NO,YES,auto_increment,主键,业务表
production_order,order_no,VARCHAR(50),NO,NO,,订单编号,业务表
production_order,material_id,UUID,YES,NO,,料品ID,业务表
production_order,material_code,VARCHAR(50),YES,NO,,料品编码,业务表
production_order,material_name,VARCHAR(100),YES,NO,,料品名称,业务表
production_order,specification,VARCHAR(200),YES,NO,,规格型号,业务表
production_order,film_version,VARCHAR(50),YES,NO,,菲林版本,业务表
production_order,version_no,VARCHAR(50),YES,NO,,版本号,业务表
production_order,planned_qty,DECIMAL(12,2),YES,NO,0,计划数量,业务表
production_order,finished_qty,DECIMAL(12,2),YES,NO,0,完工数量,业务表
production_order,plan_start_time,DATETIME,YES,NO,,计划开始时间,业务表
production_order,plan_end_time,DATETIME,YES,NO,,计划完成时间,业务表
production_order,status,TINYINT,YES,NO,0,状态(0开立/1下发/2完工),业务表
production_order,release_time,DATETIME,YES,NO,,下发时间,业务表
production_order,close_time,DATETIME,YES,NO,,关闭时间,业务表
production_order,created_by,VARCHAR(50),YES,NO,,创建人,业务表
production_order,created_at,DATETIME,YES,NO,,创建时间,业务表
production_order,updated_at,DATETIME,YES,NO,,更新时间,业务表
